name,provider,required_ports,optional_ports,num_optional_ports_required,num_flows,ignore_same_subnet,processes,processes_required,role,app,env,loc
Microsoft-Global-Catalog,1,,3268 3269,1,10,FALSE,,,R-GlobalCatalog,A-ActiveDirectory,,
LDAP,1,,389 636,1,10,FALSE,,,R-LDAP,A-ActiveDirectory,,
EMC-Networker,1,,7938,1,10,FALSE,,,R-Backup,A-Infrastructure,,
NetBackup,1,,1556 13724 13782 13722 10102 10082,1,10,FALSE,,,R-Backup,A-Infrastructure,,
Infomatica,1,,6005,1,10,FALSE,,,R-DataIntegration,A-Infrastructure,,
