hostname,name,managed,role,app,env,loc,interfaces,public_ip,machine_authentication_id,ip_with_default_gw,netmask_of_ip_with_def_gw,default_gw,default_gw_network,spn,href,description,enforcement,visibility,online,agent_status,agent_health,security_policy_sync_state,security_policy_applied_at,security_policy_received_at,security_policy_refresh_at,last_heartbeat_on,hours_since_last_heartbeat,created_at,os_id,os_detail,ven_href,agent_version,agent_id,active_pce_fqdn,service_provider,data_center,data_center_zone,cloud_instance_id,external_data_set,external_data_reference
winsvr104,,true,R-WIN10,A-APP1,E-TESTLAB,L-WWT-UAT,eth32769:192.168.20.104/24,74.122.8.4,,192.168.20.104,255.255.255.0,192.168.20.1,192.168.20.0/24,,/orgs/65774/workloads/d8c9882b-c887-48ff-9172-89af93b55208,,full,blocked_allowed,true,suspended,NA,applied,2022-10-20T15:33:58.988128Z,2022-10-20T15:33:58.988128Z,2022-10-20T15:33:58.988128Z,2022-10-26T07:39:52.008379Z,0.225147,2022-10-07T11:16:40.526727Z,win-x86_64-client,19041.1.amd64fre.vb_release.191206-1406 (Windows 10 Enterprise),/orgs/65774/vens/d8c9882b-c887-48ff-9172-89af93b55208,22.2.20-9095,281474977574354,poc1.illum.io,,,,NA,,
redhat-04.testlab.co.uk,,true,R-WEB,A-APP2,E-TESTLAB,L-WWT,ens192:fe80::9b4:a9ee:14ef:fbdd/64;ens192:fe80::f5dd:1d00:1a8f:edd2/64;ens192:192.168.20.174/24,74.122.8.4,,192.168.20.174,255.255.255.0,192.168.20.1,192.168.20.0/24,,/orgs/65774/workloads/ae4b08d0-4ac1-4255-9054-138143ff2dc1,,full,blocked_allowed,true,active,NA,applied,2022-10-20T14:35:45.045460Z,2022-10-20T14:35:45.045460Z,2022-10-20T14:35:45.045460Z,2022-10-26T07:52:43.189756Z,0.010930,2022-10-07T10:54:02.212326Z,centos-x86_64-7.0,3.10.0-1160.76.1.el7.x86_64 #1 SMP Tue Jul 26 14:15:37 UTC 2022 (Red Hat Enterprise Linux Server release 7.9 (Maipo)),/orgs/65774/vens/ae4b08d0-4ac1-4255-9054-138143ff2dc1,22.2.20-9095,281474977574339,poc1.illum.io,,,,NA,,
win10-03,,true,R-WIN10,A-APP3,E-TESTLAB,L-WWT,eth32769:192.168.10.103/24,74.122.8.4,,192.168.10.103,255.255.255.0,192.168.10.1,192.168.10.0/24,,/orgs/65774/workloads/963ce61a-39a2-4723-bcbc-255fda6be511,,full,blocked_allowed,true,active,NA,applied,2022-10-20T14:35:44.108930Z,2022-10-20T14:35:44.108930Z,2022-10-20T14:35:44.108930Z,2022-10-26T07:49:38.566024Z,0.062214,2022-10-07T11:04:12.234715Z,win-x86_64-client,19041.1.amd64fre.vb_release.191206-1406 (Windows 10 Enterprise),/orgs/65774/vens/963ce61a-39a2-4723-bcbc-255fda6be511,22.2.20-9095,281474977574348,poc1.illum.io,,,,NA,,
win10-02,,true,R-WIN10,A-APP2,E-TESTLAB,L-WWT,eth32769:192.168.10.102/24,74.122.8.4,,192.168.10.102,255.255.255.0,192.168.10.1,192.168.10.0/24,,/orgs/65774/workloads/87c6669c-5911-44d9-acb9-ca27216b1756,,full,blocked_allowed,true,active,NA,applied,2022-10-20T14:35:45.375069Z,2022-10-20T14:35:45.375069Z,2022-10-20T14:35:45.375069Z,2022-10-26T07:51:22.312875Z,0.033396,2022-10-07T11:03:41.852363Z,win-x86_64-client,19041.1.amd64fre.vb_release.191206-1406 (Windows 10 Enterprise),/orgs/65774/vens/87c6669c-5911-44d9-acb9-ca27216b1756,22.2.20-9095,281474977574347,poc1.illum.io,,,,NA,,
win10-01,,true,R-WIN10,A-APP1,E-TESTLAB,L-WWT,eth32769:192.168.10.101/24,74.122.8.4,,192.168.10.101,255.255.255.0,192.168.10.1,192.168.10.0/24,,/orgs/65774/workloads/1efa7d98-1743-4ded-be70-3dbbb68d168f,,full,blocked_allowed,true,active,NA,applied,2022-10-20T14:35:44.188676Z,2022-10-20T14:35:44.188676Z,2022-10-20T14:35:44.188676Z,2022-10-26T07:52:55.178723Z,0.007600,2022-10-07T11:02:33.899123Z,win-x86_64-client,19041.1.amd64fre.vb_release.191206-1406 (Windows 10 Enterprise),/orgs/65774/vens/1efa7d98-1743-4ded-be70-3dbbb68d168f,22.2.20-9095,281474977574345,poc1.illum.io,,,,NA,,
redhat-05.testlab.co.uk,,true,R-DB,A-APP1,E-TESTLAB,L-WWT,ens192:fe80::f5dd:1d00:1a8f:edd2/64;ens192:192.168.20.175/24,74.122.8.4,,192.168.20.175,255.255.255.0,192.168.20.1,192.168.20.0/24,,/orgs/65774/workloads/9a4f2a29-c3d0-4499-b762-b7f3c555dc6f,,full,blocked_allowed,true,active,NA,applied,2022-10-20T14:35:45.501661Z,2022-10-20T14:35:45.501661Z,2022-10-20T14:35:45.501661Z,2022-10-26T07:52:43.192107Z,0.010929,2022-10-07T10:52:28.316550Z,centos-x86_64-7.0,3.10.0-1160.76.1.el7.x86_64 #1 SMP Tue Jul 26 14:15:37 UTC 2022 (Red Hat Enterprise Linux Server release 7.9 (Maipo)),/orgs/65774/vens/9a4f2a29-c3d0-4499-b762-b7f3c555dc6f,22.2.20-9095,281474977574338,poc1.illum.io,,,,NA,,
redhat-03.testlab.co.uk,,true,R-WEB,A-APP1,E-TESTLAB,L-WWT,ens192:fe80::fa83:87a2:a3e6:42fd/64;ens192:fe80::9b4:a9ee:14ef:fbdd/64;ens192:fe80::f5dd:1d00:1a8f:edd2/64;ens192:192.168.20.173/24,74.122.8.4,,192.168.20.173,255.255.255.0,192.168.20.1,192.168.20.0/24,,/orgs/65774/workloads/2d19c25e-7d6a-4d7c-8bb7-48e0a3ce6e57,,full,blocked_allowed,true,suspended,NA,applied,2022-10-20T15:34:00.965383Z,2022-10-20T15:34:00.965383Z,2022-10-20T15:34:00.965383Z,2022-10-25T18:06:57.221770Z,13.773699,2022-10-07T10:51:23.701473Z,centos-x86_64-7.0,3.10.0-1160.76.1.el7.x86_64 #1 SMP Tue Jul 26 14:15:37 UTC 2022 (Red Hat Enterprise Linux Server release 7.9 (Maipo)),/orgs/65774/vens/2d19c25e-7d6a-4d7c-8bb7-48e0a3ce6e57,22.2.20-9095,281474977574337,poc1.illum.io,,,,NA,,
